"Megabytes of JSON data","Aeson/one","Aeson/all","Compact/one","Compact/all"
"1","2.6754e-2","5.5678e-2","1.084e-3","1.73e-3"
"2","5.265e-2","0.110328","1.229e-3","2.76e-3"
"4","0.104679","0.220383","1.972e-3","6.187e-3"
"8","0.207987","0.437664","2.503e-3","1.5719e-2"
"16","0.41301","0.875911","4.306e-3","3.2407e-2"
"32","0.836247","1.753395","7.631e-3","6.1837e-2"
"64","1.709104","3.488768","1.4488e-2","0.12237"
"128","3.379583","6.975587","3.0318e-2","0.246483"
"256","6.706726","13.923111","6.3328e-2","0.49437"
"512","13.387208","27.837122","0.127791","0.987973"
"1024","26.624743","54.965928","0.26198","2.579386"